,precision,precision,precision,recall,recall,recall,f1,f1,f1
,mean,std,count,mean,std,count,mean,std,count
explanation_label,,,,,,,,,
correct,0.06177536231884058,0.1823489731437575,92,0.0628623188405797,0.17172014994000728,92,0.05992926155969634,0.1676975706654767,92
incomplete,0.035326086956521736,0.14837011091389957,92,0.03170289855072463,0.13636793453389126,92,0.030072463768115943,0.12175555312066497,92
incorrect,0.028079710144927533,0.13264311615260901,92,0.028079710144927533,0.13264311615260901,92,0.024456521739130436,0.10521943716348005,92
