,precision,precision,precision,recall,recall,recall,f1,f1,f1
,mean,std,count,mean,std,count,mean,std,count
label,,,,,,,,,
correct,0.2603260869565217,0.2919539913000781,92,0.31757246376811593,0.3437596852265047,92,0.2731709048642687,0.2894324814034509,92
incomplete,0.2617753623188406,0.3165609814337353,92,0.2543478260869565,0.3193578489486174,92,0.24554865424430644,0.29114929548473484,92
incorrect,0.17028985507246377,0.34412766044698617,92,0.0927536231884058,0.19333055997483603,92,0.11361283643892339,0.2247695117092267,92
